,,,The predicted value of target variable from ML model,,,August Grade 1 is School month 1,Percentile based on a distribution and estimated parameters
Grade,pupilId,screeningId,WCPM_aloud_pred,date,Screening month,School month,Percentile
1,a378106a-79c6-4b46-a92c-a23dc2fb81b1,808b6a03-c86d-4538-a556-9d86241ff27f,74.743744,Recording date: 2019-02-12 (UTC),2,7,86
1,a378106a-79c6-4b46-a92c-a23dc2fb81b1,808b6a03-c86d-4538-a556-9d86241ff27f,49.012463,Recording date: 2019-02-12 (UTC),2,7,60
1,d3f36cb4-a2fe-485d-9962-dc82bb5954d3,1a380112-130f-4c03-9fcf-517ec645fd74,38.814514,Recording date: 2019-05-15 (UTC),5,10,28
1,d3f36cb4-a2fe-485d-9962-dc82bb5954d3,1a380112-130f-4c03-9fcf-517ec645fd74,57.714653,Recording date: 2019-05-15 (UTC),5,10,46
1,8cedcb42-c0d3-4223-93bf-49806e4fed5e,00c85570-93d9-4bde-af82-f4be82966205,131.1139,Recording date: 2019-05-29 (UTC),5,10,97
1,8cedcb42-c0d3-4223-93bf-49806e4fed5e,00c85570-93d9-4bde-af82-f4be82966205,152.10016,Recording date: 2019-05-29 (UTC),5,10,100
1,7caf03e6-cd35-4c8a-b0ac-ca6d5aae96e3,2f302408-3b0b-4ecf-9157-34c067570297,56.611458,Recording date: 2019-09-20 (UTC),9,2,88
1,7caf03e6-cd35-4c8a-b0ac-ca6d5aae96e3,2f302408-3b0b-4ecf-9157-34c067570297,65.68614,Recording date: 2019-09-20 (UTC),9,2,93
1,7caf03e6-cd35-4c8a-b0ac-ca6d5aae96e3,2f302408-3b0b-4ecf-9157-34c067570297,46.9404,Recording date: 2019-09-19 (UTC),9,2,80
1,7caf03e6-cd35-4c8a-b0ac-ca6d5aae96e3,2f302408-3b0b-4ecf-9157-34c067570297,56.136333,Recording date: 2019-09-19 (UTC),9,2,87
1,84931b9c-d4b3-4b52-ad4c-26a5048bd0be,dd7b3aab-0590-42d8-9f36-a26d8a392296,33.88806,Recording date: 2019-09-19 (UTC),9,2,67
1,84931b9c-d4b3-4b52-ad4c-26a5048bd0be,dd7b3aab-0590-42d8-9f36-a26d8a392296,28.896648,Recording date: 2019-09-19 (UTC),9,2,61
1,ce32f84b-5250-4fc3-badb-faabd6df057d,29ee5a37-5050-4cd3-a6e0-dd1ecb0ff8c7,14.332266,Recording date: 2019-09-19 (UTC),9,2,43
1,ce32f84b-5250-4fc3-badb-faabd6df057d,29ee5a37-5050-4cd3-a6e0-dd1ecb0ff8c7,1.4868622,Recording date: 2019-09-19 (UTC),9,2,28
1,2f67de87-3528-4ee7-9afb-ffeefad03648,231e5353-1f0d-4f97-b75a-439340cf0632,44.340126,Recording date: 2019-09-19 (UTC),9,2,78
1,2f67de87-3528-4ee7-9afb-ffeefad03648,231e5353-1f0d-4f97-b75a-439340cf0632,56.573704,Recording date: 2019-09-19 (UTC),9,2,88
1,969e0d3f-0889-4077-b5ff-f58cc3f45176,d4cfc752-eba2-4e1c-a5f4-475f0bce2e09,38.24174,Recording date: 2019-09-19 (UTC),9,2,72
1,969e0d3f-0889-4077-b5ff-f58cc3f45176,d4cfc752-eba2-4e1c-a5f4-475f0bce2e09,31.538797,Recording date: 2019-09-19 (UTC),9,2,64
1,c40b87c1-26a4-43b8-b55f-a32bae612325,f030168f-02cc-4887-a1ac-c3c4c81114b4,92.06478,Recording date: 2019-09-19 (UTC),9,2,99
1,c40b87c1-26a4-43b8-b55f-a32bae612325,f030168f-02cc-4887-a1ac-c3c4c81114b4,82.820816,Recording date: 2019-09-19 (UTC),9,2,98
1,c9191a61-7aad-4977-a2f8-f2b4da245262,1a814340-467f-44cc-bfee-9825560ce520,5.715551,Recording date: 2019-09-19 (UTC),9,2,33
1,c9191a61-7aad-4977-a2f8-f2b4da245262,1a814340-467f-44cc-bfee-9825560ce520,5.2272305,Recording date: 2019-09-19 (UTC),9,2,32
1,db38bbeb-5c43-4e20-a058-d52e547d1c38,c31445d0-2dbd-42bb-a4a4-4645db05e0cf,88.90498,Recording date: 2019-09-19 (UTC),9,2,99
1,db38bbeb-5c43-4e20-a058-d52e547d1c38,c31445d0-2dbd-42bb-a4a4-4645db05e0cf,105.11257,Recording date: 2019-09-19 (UTC),9,2,100
1,dc76896a-ac5f-4407-85bf-17081d025b19,70648b8e-08e6-4074-87b6-c5a05912d04f,5.7554107,Recording date: 2019-09-19 (UTC),9,2,33
1,dc76896a-ac5f-4407-85bf-17081d025b19,70648b8e-08e6-4074-87b6-c5a05912d04f,39.058563,Recording date: 2019-09-19 (UTC),9,2,73
1,de9b7bb3-e2ff-40f9-8def-aec028de104b,709259bb-f8f2-4a09-9c7d-259f6c43537c,21.573202,Recording date: 2019-09-19 (UTC),9,2,52
1,de9b7bb3-e2ff-40f9-8def-aec028de104b,709259bb-f8f2-4a09-9c7d-259f6c43537c,17.66287,Recording date: 2019-09-19 (UTC),9,2,47
1,089f2c35-44e9-4ccd-8289-6d111bbbd0e2,b1c4fd23-2fc7-4ecf-9d50-28b3a2152d7b,15.293122,Recording date: 2019-09-19 (UTC),9,2,44
1,089f2c35-44e9-4ccd-8289-6d111bbbd0e2,b1c4fd23-2fc7-4ecf-9d50-28b3a2152d7b,28.312788,Recording date: 2019-09-19 (UTC),9,2,60
1,0d6b55af-5a51-4938-a879-9b30832995ec,256da3ad-023b-45bf-a618-08db6faed3fc,41.224552,Recording date: 2019-09-19 (UTC),9,2,75
1,0d6b55af-5a51-4938-a879-9b30832995ec,256da3ad-023b-45bf-a618-08db6faed3fc,44.4645,Recording date: 2019-09-19 (UTC),9,2,78
1,0fe1c743-2ab4-4aee-9bcb-0488d9449ca0,ace3a4d4-75b2-44af-b9b7-151516c83029,27.163176,Recording date: 2019-09-19 (UTC),9,2,59
1,0fe1c743-2ab4-4aee-9bcb-0488d9449ca0,ace3a4d4-75b2-44af-b9b7-151516c83029,32.754562,Recording date: 2019-09-19 (UTC),9,2,66
1,13096847-1a92-44eb-96ae-99060d6244a8,a7b69523-6ba0-4c1a-bac0-cc6c39f36d3a,56.186577,Recording date: 2019-09-19 (UTC),9,2,87
1,13096847-1a92-44eb-96ae-99060d6244a8,a7b69523-6ba0-4c1a-bac0-cc6c39f36d3a,71.65422,Recording date: 2019-09-19 (UTC),9,2,95
1,22c35c04-a3c5-46c3-a10a-69df3b35438d,75ad18d8-ed9b-4133-99fc-6059ab17ce91,18.19871,Recording date: 2019-09-19 (UTC),9,2,48
1,22c35c04-a3c5-46c3-a10a-69df3b35438d,75ad18d8-ed9b-4133-99fc-6059ab17ce91,17.969517,Recording date: 2019-09-19 (UTC),9,2,48
1,2628380c-a02d-49ae-b566-b109b2891c37,84d4e810-a34c-4209-9ae8-80f000130327,24.385805,Recording date: 2019-09-19 (UTC),9,2,56
1,2628380c-a02d-49ae-b566-b109b2891c37,84d4e810-a34c-4209-9ae8-80f000130327,29.448101,Recording date: 2019-09-19 (UTC),9,2,62
1,41bdd9cc-3127-48de-9c4f-e9415c3b1efd,4755fafc-d8d6-4d00-9958-400cf7e04202,15.831411,Recording date: 2019-09-19 (UTC),9,2,45
1,41bdd9cc-3127-48de-9c4f-e9415c3b1efd,4755fafc-d8d6-4d00-9958-400cf7e04202,11.336281,Recording date: 2019-09-19 (UTC),9,2,39
